Time (ms),X,Y,Z
85,296,-1857,-8209
165,607,-1906,-8204
245,582,-1817,-8040
325,366,-1819,-7921
405,324,-1794,-7993
485,305,-1646,-8036
565,407,-1526,-8047
645,488,-1444,-8112
725,373,-1355,-8228
805,165,-1279,-8273
885,94,-1209,-8303
965,69,-1142,-8291
1045,7,-1137,-8243
1125,-14,-1143,-8169
1205,78,-1137,-8075
1285,96,-1143,-8142
1365,122,-1138,-8284
1445,91,-1152,-8222
1605,-26,-1193,-8117
1685,-81,-1186,-8144
1765,-98,-1157,-8200
1845,-114,-1144,-8226
1925,-139,-1095,-8247
2005,-142,-1064,-8205
2085,-109,-1066,-8134
2165,-102,-1084,-8169
2245,-125,-1118,-8220
2324,-102,-1083,-8175
2404,-107,-1050,-8129
2484,-127,-1051,-8133
2564,-128,-1043,-8126
2644,-145,-1031,-8141
2724,-128,-999,-8156
2804,-137,-1019,-8163
2884,-175,-1063,-8166
2964,-167,-1074,-8159
3045,-146,-1063,-8190
3204,-154,-1049,-8187
3284,-166,-1059,-8177
3364,-154,-1089,-8181
3444,-132,-1087,-8183
3524,-156,-1060,-8175
3604,-158,-1064,-8146
3684,-134,-1058,-8175
3764,-139,-1029,-8163
3844,-168,-1033,-8115
3924,-215,-1052,-8092
4004,-212,-1052,-8142
4084,-193,-1078,-8198
4164,-193,-1064,-8191
4244,-176,-1015,-8196
4324,-176,-992,-8181
4404,-193,-999,-8183
4484,-193,-1010,-8192
4564,-167,-998,-8231
4644,-163,-1019,-8232
4724,-204,-1028,-8172
4884,-249,-1024,-8145
4964,-253,-1022,-8158
5044,-238,-987,-8155
5124,-231,-954,-8120
5204,-219,-955,-8171
5284,-231,-956,-8204
5364,-253,-956,-8194
5444,-255,-956,-8223
5524,-247,-956,-8202
5604,-192,-973,-8201
5684,-116,-990,-8218
5764,-131,-997,-8191
5844,-215,-976,-8162
5924,-237,-991,-8114
6004,-205,-1033,-8118
6084,-207,-992,-8154
6164,-208,-930,-8162
6244,-191,-918,-8165
6324,-200,-947,-8133
6404,-188,-927,-8135
6564,-173,-908,-8145
6644,-218,-942,-8123
6724,-238,-958,-8139
6804,-248,-983,-8180
6884,-261,-994,-8165
6964,-242,-974,-8141
7044,-224,-965,-8165
7124,-216,-960,-8210
7204,-220,-950,-8230
7284,-231,-945,-8180
7364,-211,-942,-8157
7444,-167,-916,-8197
7524,-163,-886,-8225
7604,-170,-889,-8203
7684,-182,-891,-8185
7764,-222,-883,-8151
7844,-240,-888,-8126
7924,-215,-916,-8140
8004,-143,-938,-8164
8084,-153,-913,-8201
8243,-217,-902,-8201
8323,-255,-888,-8149
8403,-264,-890,-8143
8483,-235,-943,-8182
8563,-212,-958,-8192
8643,-219,-923,-8145
8723,-222,-907,-8158
8803,-198,-908,-8189
8883,-204,-891,-8169
8963,-215,-909,-8135
9043,-203,-909,-8136
9123,-172,-900,-8162
9203,-157,-930,-8166
9283,-184,-944,-8150
9363,-206,-942,-8126
9443,-241,-933,-8131
9523,-284,-928,-8126
9603,-252,-926,-8131
9683,-178,-848,-8194
9843,-169,-812,-8223
9923,-190,-855,-8177
10003,-174,-849,-8181
10083,-261,-881,-8191
10165,-310,-938,-8145
10243,-247,-897,-8132
10323,-218,-852,-8186
10403,-179,-856,-8228
10483,-186,-884,-8222
10563,-232,-931,-8228
10643,-254,-953,-8213
10723,-255,-938,-8215
10803,-222,-896,-8216
10883,-189,-843,-8216
10963,-225,-852,-8242
11043,-267,-899,-8229
11123,-244,-870,-8205
11203,-225,-848,-8177
11283,-225,-837,-8198
11363,-233,-832,-8225
11443,-246,-873,-8186
11603,-209,-883,-8211
11683,-192,-871,-8223
11763,-192,-857,-8219
11843,-201,-807,-8278
11923,-256,-759,-8271
12003,-333,-787,-8293
12083,-369,-886,-8329
12163,-335,-907,-8269
12243,-251,-848,-8224
12323,-177,-846,-8280
12403,-143,-888,-8271
12483,-144,-907,-8208
12563,-196,-925,-8212
12643,-271,-848,-8189
12723,-289,-838,-8135
12803,-272,-875,-8119
12883,-263,-842,-8171
12963,-251,-860,-8212
13043,-237,-860,-8197
13123,-205,-903,-8191
13283,-181,-915,-8230
13363,-204,-860,-8223
13443,-249,-860,-8194
13523,-245,-903,-8172
13603,-234,-906,-8136
13683,-221,-890,-8111
13763,-206,-866,-8167
13842,-207,-863,-8227
13922,-199,-904,-8247
14002,-213,-889,-8282
14082,-253,-900,-8264
14162,-247,-955,-8213
14242,-209,-964,-8198
14322,-200,-960,-8208
14402,-230,-907,-8204
14482,-270,-856,-8202
14562,-254,-884,-8141
14642,-247,-880,-8096
14722,-244,-827,-8135
14802,-268,-810,-8153
14882,-287,-837,-8187
15042,-237,-849,-8220
15122,-196,-830,-8209
15202,-203,-795,-8213
15282,-189,-770,-8189
15362,-165,-784,-8187
15442,-197,-842,-8194
15522,-237,-869,-8197
15602,-239,-881,-8191
15682,-223,-904,-8162
15762,-232,-907,-8165
15842,-237,-882,-8167
15922,-196,-887,-8151
16002,-203,-916,-8186
16082,-248,-886,-8219
16162,-219,-889,-8243
16242,-222,-908,-8238
16322,-249,-882,-8218
16402,-262,-896,-8191
16482,-259,-903,-8196
16562,-224,-880,-8241
16722,-199,-895,-8211
16802,-187,-902,-8171
16882,-216,-922,-8144
16962,-255,-966,-8174
17042,-256,-986,-8231
17122,-239,-962,-8189
17202,-214,-925,-8161
17282,-211,-873,-8216
17362,-218,-849,-8191
17442,-213,-881,-8136
17522,-228,-887,-8196
17602,-235,-873,-8233
17682,-229,-875,-8224
17762,-218,-884,-8211
17842,-204,-914,-8163
17922,-198,-937,-8115
18002,-204,-930,-8092
18082,-215,-944,-8107
18162,-203,-925,-8123
18242,-189,-865,-8165
18402,-191,-863,-8209
18482,-209,-862,-8247
18562,-209,-844,-8265
18642,-209,-793,-8213
18722,-200,-786,-8147
18802,-205,-885,-8159
18882,-215,-914,-8190
18962,-220,-894,-8178
19042,-240,-910,-8190
19122,-206,-935,-8196
19202,-216,-955,-8164
19282,-254,-973,-8124
19362,-230,-972,-8122
19442,-227,-972,-8173
19522,-251,-964,-8187
19602,-237,-977,-8160
19682,-222,-966,-8182
19762,-223,-961,-8200
19841,-207,-984,-8166
19921,-225,-961,-8168
20001,-242,-967,-8177
20161,-216,-1013,-8130
20241,-229,-1017,-8142
20321,-227,-993,-8182
20401,-225,-965,-8200
20481,-251,-935,-8235
20561,-245,-938,-8234
20641,-243,-948,-8207
20721,-233,-935,-8169
20801,-212,-946,-8152
20881,-176,-986,-8195
20961,-185,-1005,-8232
21041,-214,-970,-8181
21121,-245,-912,-8097
21201,-285,-910,-8058
21281,-296,-960,-8057
21361,-283,-975,-8100
21441,-252,-931,-8145
21521,-237,-953,-8166
21601,-239,-981,-8142
21681,-240,-976,-8156
21841,-274,-992,-8188
21921,-265,-956,-8160
22001,-226,-939,-8173
22081,-208,-948,-8222
22161,-209,-953,-8219
22241,-243,-929,-8166
22321,-242,-884,-8210
22401,-241,-914,-8171
22481,-241,-937,-8127
22561,-215,-998,-8183
22641,-246,-1095,-8175
22721,2464,1916,-8035
22801,3744,3269,-7867
22881,1763,793,-7917
22961,1010,-354,-8025
23041,719,-795,-8034
23121,514,-950,-8072
23201,325,-962,-8175
23281,280,-942,-8171
23361,190,-975,-8170
23441,80,-982,-8195
23601,72,-968,-8172
23681,59,-928,-8170
23761,27,-917,-8178
23841,55,-912,-8233
23921,85,-868,-8267
24001,108,-898,-8180
24081,127,-946,-8097
24161,102,-935,-8110
24241,73,-963,-8158
24321,119,-1037,-8190
24401,141,-1062,-8161
24481,125,-1049,-8148
24561,144,-1068,-8168
24641,178,-1059,-8151
24721,159,-1038,-8127
24801,134,-1054,-8123
24881,114,-1087,-8165
24961,130,-1085,-8175
25041,180,-1059,-8189
25121,169,-1047,-8186
25201,105,-1033,-8168
25361,74,-1060,-8220
25441,69,-1098,-8244
25521,83,-1108,-8272
25601,133,-1095,-8268
25681,121,-1098,-8258
25761,99,-1108,-8270
25841,149,-1146,-8207
25921,231,-1250,-8161
26001,261,-1443,-8020
26081,318,-1627,-7877
26160,361,-1705,-7930
26240,339,-1766,-8041
26321,329,-1795,-8092
26400,324,-1783,-8065
26480,339,-1786,-8060
26560,371,-1796,-8084
26640,378,-1775,-8052
26720,356,-1765,-8020
26800,328,-1761,-8031
26880,341,-1724,-8045
27040,330,-1707,-8034
27120,316,-1716,-8072
27200,301,-1738,-8107
27280,277,-1722,-8105
27360,299,-1715,-8122
27440,302,-1703,-8070
27520,303,-1697,-8080
27600,320,-1729,-8144
27680,337,-1701,-8166
27760,319,-1679,-8167
27840,302,-1660,-8108
27920,328,-1643,-8072
28000,341,-1653,-8098
28080,321,-1614,-8153
28160,295,-1587,-8144
28240,291,-1600,-8072
28320,264,-1615,-8055
28400,234,-1631,-8099
28480,245,-1612,-8128
28560,251,-1578,-8090
28720,254,-1537,-8081
28800,264,-1500,-8119
28880,268,-1483,-8137
28960,261,-1475,-8128
29040,275,-1523,-8116
29120,290,-1562,-8101
29200,272,-1580,-8086
29280,229,-1623,-8096
29360,218,-1626,-8100
29440,230,-1644,-8103
29520,261,-1661,-8087
29600,258,-1644,-8071
29680,197,-1636,-8046
29760,169,-1606,-8052
29840,215,-1584,-8148
